"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"OTX2-AS1",0,119.723555091746,0.891,0.024,0
"FSTL5",0,355.308600384535,0.951,0.108,0
"OTX2",0,26.3894952216309,0.852,0.012,0
"ZNF385B",0,63.9105412140967,0.85,0.041,0
"FMN1",0,101.4169088411,0.819,0.028,0
"MIR9-1HG",0,-220.300539539558,0.097,0.882,0
"PCBP3",0,84.0462005437306,0.849,0.069,0
"ENSG00000258776",0,30.1266326924768,0.786,0.011,0
"RIMS2",0,232.678230414042,0.954,0.179,0
"FOXG1",0,-70.2500389132534,0.053,0.806,0
"PANTR1",0,-165.448356644931,0.057,0.809,0
"MAP7",0,-13.9674003311977,0.851,0.111,0
"NEUROD4",0,52.3724966796861,0.745,0.006,0
"MIR99AHG",0,-501.442893143219,0.159,0.884,0
"GNB3",0,163.455616178556,0.747,0.031,0
"POU3F3",0,-36.3357955057877,0.058,0.769,0
"STX3",0,15.6072558263093,0.765,0.055,0
"SV2B",0,20.7948984464887,0.72,0.024,0
"MIR124-1HG",0,50.1360679015016,0.873,0.188,0
"TPD52",0,20.5667788262136,0.774,0.095,0
"CPLX4",0,65.3535532807045,0.681,0.004,0
"PCBP4",0,39.3960126215124,0.882,0.211,0
"CRX",0,43.5230656709161,0.666,0.006,0
"KCNH7",0,-318.398630750229,0.13,0.773,0
"ELAVL3",0,-104.8849328328,0.104,0.744,0
"ANO2",0,83.8784537153673,0.658,0.022,0
"NFIA",0,-163.829191451903,0.269,0.904,0
"NKAIN3",0,-655.994438627063,0.12,0.751,0
"NEUROD1",0,75.3582248383862,0.692,0.065,0
"SOX2",0,-96.2988583464909,0.095,0.721,0
"BTBD8",0,-2.44391993462919,0.827,0.202,0
"RCVRN",0,248.574868143179,0.623,0.002,0
"LINC02981",0,3.85139539821494,0.698,0.082,0
"UNC119",0,102.467405399735,0.791,0.177,0
"GALNT13",0,33.6138150798368,0.757,0.143,0
"PDC",0,199.698880792245,0.63,0.017,0
"PCLO",0,-44.2912573571013,0.792,0.181,0
"MAB21L1",0,-8.39684078203059,0.618,0.007,0
"DCX",0,-97.6005033922013,0.16,0.77,0
"RORB",0,-116.426493334589,0.874,0.268,0
"NRL",0,252.903437132983,0.638,0.033,0
"IMPG2",0,86.9935062891006,0.67,0.066,0
"ZNF593OS",0,16.366258404578,0.6,0.003,0
"AIPL1",0,74.0094312935719,0.6,0.004,0
"ABCA4",0,23.6284246624313,0.603,0.008,0
"MIR100HG",0,-83.2418402914105,0.175,0.767,0
"FUT9",0,-82.7389283958534,0.09,0.681,0
"CNTN1",0,-5.33897533287973,0.724,0.133,0
"USH2A",0,134.051578435839,0.62,0.032,0
"SLC38A1",0,4.75941045191394,0.692,0.106,0
"RASGRF2",0,40.7482505875098,0.643,0.062,0
"CADPS",0,113.405925479859,0.905,0.326,0
"TULP1",0,58.5592602652928,0.579,0.002,0
"NFIX",0,-34.0882224338164,0.147,0.721,0
"RP1",0,106.036439480509,0.581,0.009,0
"SNCAIP",0,-77.4733577304431,0.066,0.636,0
"POU3F2",0,-36.2238570935336,0.047,0.615,0
"LINC02997",0,352.263413753974,0.604,0.037,0
"ATP1A3",0,6.13713309069298,0.76,0.194,0
"CCND2",0,-104.857411720985,0.236,0.799,0
"SRRM4",0,-28.4104757656742,0.839,0.277,0
"TAFA4",0,94.0205764764419,0.582,0.02,0
